x,y,z,h,local_x,local_y,local_z
393795.59829580714,6450986.6827020515,98.0853885687057,19.789999999999996,-260.49,-5.9,-21.650000000000002
393791.7121656885,6450991.73021557,97.74538856870569,19.449999999999996,-264.62,-1.05,-21.990000000000002
393621.2762563444,6450891.442337407,97.4853885687057,19.189999999999998,-429.91,-109.61,-22.25
393641.7480628088,6450873.512361388,97.3653885687057,19.069999999999997,-408.58,-126.51,-22.37
393608.22400804906,6450891.5152376145,97.3153885687057,19.019999999999996,-442.95,-110.18,-22.42
393624.65914241405,6450871.721802884,97.2553885687057,18.959999999999997,-425.56,-129.14000000000001,-22.48
393944.81532977906,6451060.713729148,97.2553885687057,18.959999999999997,-115.10000000000001,75.39,-22.48
393616.48647605354,6450888.925175361,97.2353885687057,18.939999999999998,-434.57,-112.36,-22.5
393948.79806294886,6451063.3107344415,97.19538856870571,18.9,-111.25,78.18,-22.54
393608.6486886084,6450906.422411942,97.1753885687057,18.88,-443.26,-95.27,-22.56
393895.9900652827,6451019.778656815,97.0853885687057,18.789999999999996,-161.85,32.1,-22.650000000000002
393629.4165009791,6450895.916867245,97.0353885687057,18.74,-422.0,-104.74000000000001,-22.7
393956.77504997514,6451045.996864914,97.0353885687057,18.74,-102.43,61.28,-22.7
393965.42712741805,6451065.724696928,97.0153885687057,18.72,-94.76,81.41,-22.72
393804.6068879826,6450999.224255663,96.9653885687057,18.669999999999998,-252.11,7.07,-22.77
393577.326820792,6450881.775077471,96.9353885687057,18.639999999999997,-473.33,-121.43,-22.8
393629.1953796134,6450881.279995814,96.8653885687057,18.569999999999997,-421.5,-119.37,-22.87
393874.4420318265,6451037.811761211,96.8053885687057,18.509999999999998,-184.26,49.050000000000004,-22.93
393620.6538481184,6450875.773977313,96.7753885687057,18.479999999999997,-429.76,-125.29,-22.96
393910.840033731,6451071.189694901,96.7553885687057,18.459999999999997,-149.55,84.18,-22.98
393908.17541763297,6451020.399292059,96.74538856870569,18.449999999999996,-149.71,33.32,-22.990000000000002
393625.1604610701,6450879.046001108,96.69538856870571,18.4,-425.42,-121.8,-23.04
393897.1275675504,6451063.355515221,96.66538856870571,18.369999999999997,-162.86,75.68,-23.07
393931.678376589,6451053.992556566,96.6453885687057,18.349999999999998,-127.89,68.03,-23.09
393591.0452119689,6450896.226995803,96.6253885687057,18.33,-460.34000000000003,-106.32000000000001,-23.11
393926.93025241746,6451036.685395711,96.5653885687057,18.269999999999996,-131.78,50.51,-23.17
393607.57995323004,6450898.555499925,96.5553885687057,18.259999999999998,-443.94,-103.18,-23.18
393869.7213304271,6451019.842446302,96.5353885687057,18.24,-188.09,30.87,-23.2
393747.99252507876,6450960.936001422,96.5153885687057,18.22,-306.77,-33.96,-23.22
393905.26979651785,6451047.565356658,96.5153885687057,18.22,-153.95000000000002,60.31,-23.22
393952.8227772183,6451065.134734183,96.5053885687057,18.209999999999997,-107.32000000000001,80.2,-23.23
393595.0326938878,6450869.478156802,96.4853885687057,18.189999999999998,-455.04,-132.84,-23.25
393629.7696171711,6450903.0781666385,96.4853885687057,18.189999999999998,-422.0,-97.57000000000001,-23.25
393927.7239620302,6451065.371115589,96.4653885687057,18.169999999999998,-132.4,79.2,-23.27
393677.8729341368,6450922.062157176,96.44538856870571,18.15,-374.89,-76.24,-23.29
393787.84399676364,6451004.045663962,96.44538856870571,18.15,-269.09000000000003,11.06,-23.29
393604.05698251625,6450888.226469119,96.4253885687057,18.13,-446.95,-113.67,-23.31
393965.7174506147,6451058.21128143,96.4253885687057,18.13,-94.10000000000001,73.92,-23.31
393835.6239741945,6451001.649634591,96.41538856870571,18.119999999999997,-221.25,11.02,-23.32
393921.7220897074,6451027.510759958,96.41538856870571,18.119999999999997,-136.53,41.09,-23.32
393918.5327009244,6451068.61771678,96.4053885687057,18.109999999999996,-141.74,81.99,-23.330000000000002
393935.6153375469,6451041.853934798,96.4053885687057,18.109999999999996,-123.36,56.1,-23.330000000000002
393616.39703318547,6450896.248466967,96.3753885687057,18.08,-435.02,-105.05,-23.36
393908.85267140344,6451034.743344042,96.3653885687057,18.069999999999997,-149.74,47.68,-23.37
393638.93944809254,6450922.950675307,96.3553885687057,18.06,-413.82,-77.27,-23.38
393666.1247910348,6450937.0088803535,96.3553885687057,18.06,-387.36,-61.89,-23.38
393786.8291852129,6450988.947321089,96.3453885687057,18.049999999999997,-269.36,-4.07,-23.39
393616.32287264685,6450910.37926667,96.3253885687057,18.029999999999998,-435.79,-90.94,-23.41
393913.4722697391,6451029.1390322,96.2953885687057,17.999999999999996,-144.85,42.31,-23.44
393620.4352719021,6450883.524146631,96.2553885687057,17.959999999999997,-430.36,-117.56,-23.48
393611.7466458649,6450871.177070962,96.24538856870569,17.949999999999996,-438.43,-130.32,-23.490000000000002
393663.4651595224,6450885.50736911,96.24538856870569,17.949999999999996,-387.48,-113.46000000000001,-23.490000000000002
393738.73119218095,6450962.96457554,96.24538856870569,17.949999999999996,-316.12,-32.39,-23.490000000000002
393961.3309868225,6451055.954572454,96.24538856870569,17.949999999999996,-98.37,71.45,-23.490000000000002
393602.7437148469,6450904.0303239655,96.19538856870571,17.9,-449.04,-97.95,-23.54
393782.6011238328,6450965.537141744,96.1753885687057,17.88,-272.43,-27.66,-23.56
393791.0023248053,6450954.389863056,96.16538856870571,17.869999999999997,-263.49,-38.38,-23.57
393817.4991585969,6450991.439876538,96.1553885687057,17.859999999999996,-238.85,-0.07,-23.580000000000002
393594.0481004634,6450884.43479666,96.1453885687057,17.849999999999998,-456.76,-117.95,-23.59
393936.6472633503,6451063.99998702,96.1453885687057,17.849999999999998,-123.42,78.27,-23.59
393585.3732303839,6450864.447772641,96.1253885687057,17.83,-464.44,-138.34,-23.61
393659.6895602498,6450898.278811868,96.1253885687057,17.83,-391.88,-100.89,-23.61
393869.4548739928,6451013.017286893,96.1253885687057,17.83,-188.02,24.04,-23.61
393874.1987296627,6451021.303711537,96.1153885687057,17.819999999999997,-183.69,32.55,-23.62
393945.0857369189,6451052.390311582,96.1153885687057,17.819999999999997,-114.42,67.09,-23.62
393585.83687742194,6450879.333001273,96.0953885687057,17.799999999999997,-464.71000000000004,-123.45,-23.64
393804.4362322302,6450992.514518217,96.0953885687057,17.799999999999997,-251.95000000000002,0.36,-23.64
393904.2084930793,6451032.539391298,96.0353885687057,17.74,-154.27,45.25,-23.7
393958.05227378506,6451075.960322648,96.0353885687057,17.74,-102.63,91.27,-23.7
393606.5856055751,6450861.739795767,96.0253885687057,17.729999999999997,-443.12,-140.0,-23.71
393796.35789985367,6450994.5748691615,96.0253885687057,17.729999999999997,-260.12,2.02,-23.71
393935.81591232336,6451055.871066093,96.0253885687057,17.729999999999997,-123.85000000000001,70.11,-23.71
393940.79283208714,6451072.3359368695,96.0153885687057,17.72,-119.69,86.8,-23.72
393896.20552695857,6451042.625769898,96.0053885687057,17.709999999999997,-162.76,54.93,-23.73
393899.8464036426,6451022.451979552,96.0053885687057,17.709999999999997,-158.13,34.96,-23.73
