x,y,z,h,local_x,local_y,local_z
392844.04338722955,6455188.193139416,93.78249585546367,19.26,-94.61,133.49,-21.87
392890.68599410367,6455189.517723894,93.76249585546367,19.240000000000002,-48.09,137.12,-21.89
392870.64522158186,6455157.649974732,93.74249585546367,19.220000000000002,-66.53,104.3,-21.91
392858.74766045634,6455149.0979843605,93.54249585546367,19.020000000000003,-77.99,95.17,-22.11
392850.1736251723,6455189.461478003,93.49249585546367,18.970000000000002,-88.55,135.06,-22.16
392884.392698202,6455188.798122134,93.47249585546368,18.950000000000003,-54.34,136.09,-22.18
392895.31475542544,6455176.8432626175,93.47249585546368,18.950000000000003,-42.84,124.69,-22.18
392906.8651111065,6455179.395082291,93.40249585546367,18.880000000000003,-31.43,127.81,-22.25
392835.72172583913,6455150.558681116,93.26249585546367,18.740000000000002,-101.06,95.49,-22.39
392829.2638702947,6455149.346616033,93.21249585546367,18.69,-107.45,93.96000000000001,-22.44
392826.22494344524,6455184.419856881,93.15249585546367,18.630000000000003,-112.22,128.84,-22.5
392583.3320397769,6455096.966784616,93.07249585546367,18.55,-350.49,29.48,-22.580000000000002
392890.0405443584,6455183.762604901,93.07249585546367,18.55,-48.45,131.34,-22.580000000000002
392880.67701795493,6455209.397120174,93.06249585546367,18.540000000000003,-59.07,156.48,-22.59
392847.7612250922,6455160.965921758,92.98249585546367,18.46,-89.55,106.48,-22.67
392817.23484183854,6455132.681197514,92.97249585546368,18.450000000000003,-118.64,76.72,-22.68
392723.7444623739,6455120.430424164,92.91249585546367,18.39,-211.41,59.86,-22.740000000000002
392831.0378887981,6455163.536237535,92.91249585546367,18.39,-106.38,108.22,-22.740000000000002
392706.4188927559,6455122.970490583,92.88249585546367,18.360000000000003,-228.84,61.54,-22.77
392855.96388001204,6455190.536396086,92.86249585546366,18.340000000000003,-82.82000000000001,136.42000000000002,-22.79
392869.85297128453,6455143.471807028,92.82249585546367,18.3,-66.62,90.10000000000001,-22.830000000000002
392841.27722063806,6455151.745347686,92.79249585546367,18.270000000000003,-95.57000000000001,96.95,-22.86
392793.4430919114,6455127.371486088,92.77249585546367,18.250000000000004,-142.14000000000001,70.24,-22.88
392835.74401314784,6455158.287038205,92.77249585546367,18.250000000000004,-101.42,103.21000000000001,-22.88
392912.7346780475,6455180.656305478,92.75249585546366,18.23,-25.63,129.36,-22.900000000000002
392853.9748390386,6455168.567888719,92.72249585546368,18.200000000000003,-83.72,114.38,-22.93
392882.1676762388,6455153.775308464,92.72249585546368,18.200000000000003,-54.83,101.0,-22.93
392866.7749872757,6455178.7672516955,92.68249585546367,18.160000000000004,-71.44,125.2,-22.97
392653.4703571232,6455105.508057351,92.66249585546367,18.14,-280.86,41.480000000000004,-22.990000000000002
392887.7514125087,6455147.040882782,92.60249585546367,18.080000000000002,-48.92,94.55,-23.05
392793.86395026156,6455205.21595075,92.58249585546366,18.060000000000002,-145.57,148.01,-23.07
392914.1346978483,6455194.774338079,92.56249585546367,18.040000000000003,-24.93,143.53,-23.09
392827.4541348543,6455190.236177752,92.55249585546366,18.03,-111.28,134.71,-23.1
392889.5453699866,6455175.987580636,92.52249585546367,18.000000000000004,-48.56,123.55,-23.13
392852.5221399815,6455139.233837425,92.51249585546367,17.990000000000002,-83.72,85.01,-23.14
392855.22919011745,6455182.372743061,92.50249585546366,17.98,-83.15,128.23,-23.150000000000002
392881.1126293796,6455215.362876007,92.49249585546367,17.970000000000002,-58.93,162.46,-23.16
392877.7940613221,6455172.814940618,92.48249585546367,17.96,-60.14,119.8,-23.17
392863.59139252757,6455219.814960822,92.44249585546368,17.92,-76.65,166.04,-23.21
392878.43107222166,6455187.901899128,92.42249585546367,17.900000000000002,-60.25,134.9,-23.23
392694.87160015426,6455120.278347648,92.41249585546367,17.89,-240.24,58.28,-23.240000000000002
392907.63678432116,6455187.496830278,92.41249585546367,17.89,-31.060000000000002,135.94,-23.240000000000002
392861.23394340044,6455183.937651368,92.40249585546367,17.880000000000003,-77.23,130.09,-23.25
392846.89699821814,6455153.2191861905,92.39249585546366,17.87,-90.03,98.7,-23.26
392722.8674252579,6455182.5798747325,92.37249585546367,17.85,-215.36,121.89,-23.28
392788.43617262505,6455134.027285009,92.36249585546366,17.840000000000003,-147.47,76.64,-23.29
392782.4770135043,6455138.437434957,92.35249585546367,17.830000000000002,-153.64000000000001,80.75,-23.3
392856.1267588357,6455196.655829925,92.34249585546367,17.820000000000004,-82.96000000000001,142.54,-23.31
392759.96830885886,6455142.255433805,92.31249585546367,17.790000000000003,-176.31,83.45,-23.34
392724.1174834195,6455126.749708562,92.29249585546367,17.770000000000003,-211.35,66.19,-23.36
392747.52108138136,6455131.297686403,92.29249585546367,17.770000000000003,-188.20000000000002,71.89,-23.36
392750.99629516114,6455174.178280954,92.29249585546367,17.770000000000003,-186.85,114.89,-23.36
392876.35358427785,6455152.421227717,92.29249585546367,17.770000000000003,-60.57,99.36,-23.36
392810.02229322266,6455194.673823223,92.28249585546367,17.76,-128.91,138.28,-23.37
392874.77303615335,6455208.047491007,92.28249585546367,17.76,-64.9,154.84,-23.37
392925.5432348253,6455191.025460375,92.27249585546367,17.750000000000004,-13.35,140.35,-23.38
392806.1372479719,6455144.1241128035,92.25249585546366,17.73,-130.29,87.60000000000001,-23.400000000000002
392828.0719509317,6455204.733363799,92.25249585546366,17.73,-111.38,149.22,-23.400000000000002
392823.886272056,6455147.910845444,92.24249585546367,17.720000000000002,-112.75,92.26,-23.41
392815.9667206845,6455196.031461669,92.23249585546367,17.71,-123.04,139.93,-23.42
392840.4235599202,6455137.540184419,92.23249585546367,17.71,-95.72,82.72,-23.42
392846.35927493987,6455138.31754354,92.23249585546367,17.71,-89.83,83.79,-23.42
392862.6225869404,6455197.82596549,92.22249585546368,17.700000000000003,-76.53,144.03,-23.43
392857.2494875126,6455204.770229492,92.20249585546367,17.680000000000003,-82.24,150.70000000000002,-23.45
